comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
MP. Chairman. Upodesta. Minister eder agey dhorun. Americatey jara jara bari koresey tadero dhorun joruri. Na  parley sakuri  serey  bari  jan  joldi.,1,0,0,0,0,0
mone hoy priya sahar sathe sorkarer montri golo jorito ace..ta na hole amon kotha bolbe kno..ai ta holo sonar Banglar Sonar montri..ai sob sone r ai Gibone Bangladeshe jete mon caibe na..nijer desh k r koto opoman korbi....,1,0,0,0,1,0
Ai sala kader or mar opkho nitece,0,0,0,0,1,1
Lav ni vi ki khobor tobor Nia aico bichar bivag silent treatment dorkar,1,0,0,0,0,0
natok ta aktu kom korlei hoi,1,0,0,0,0,0
What a buddhi,0,0,0,0,0,0
Md Anamul Haque vaiya Vule o deshe jeo na,0,0,0,0,0,0
Ei desher future ki.,1,0,0,0,0,0
Dinkal ja porse sobari dekhi sathey kichu ekta rakte hobe.jeno akromon korle 2/4 tare sathey niye mora jai.ei chara ami ar upay dekhi na,0,0,0,1,0,0
Chi chi ki obosta ai deshe,0,0,0,0,0,0
Ki shuro holo deshe allah ei desher sokol jonogon k bujar motu towfik dao..,0,0,0,0,0,0
Ghure fire jatikei dos dilam ...haire bangali. Moja moja moja!!!!,0,0,0,0,0,1
adar bicar kora dorkar,0,0,0,0,0,0
Allah ki din aslo re ??????,0,0,0,0,0,0
Congratulations,0,0,0,0,0,0
Bichar chai Bichar nai  Kano nai  Amra sobai  opradhi,1,1,0,0,0,0
Fashi  chai  aei hujuke murderer der. Manuser jibon ki moger mulluk?,0,0,0,1,0,0
Asob Gonopituni te jara jorito bichar er autai ante hobe,0,0,0,0,0,0
we want crossfire to them.,0,0,0,0,0,0
"Dorar sate, sate... Shot kora usit silo....",0,0,0,1,0,0
Gonopituni jinistai nishiddho kora hok. Ebong video footage jakei gotopitunite dekha jabe marte take obosshoi khuni hishebe chinnito kora uchit.,0,0,0,0,0,0
Jodi se kono answer na kore tahole tar kichu kichu sorirer onsosh katte thaklei obossoi bole dibe ki Karon r rohosso ta ki,0,0,0,1,0,0
Salara 2019 aisha akhono sele dhora eisob bishas kore ??,1,0,0,0,1,0
Sondheho holey esthanio police k janabey nijera bicharok hoe gheley to erokom vol protinioto hobey.,0,0,0,0,0,0
Jekono prokar hottai jorito baktike crosfire dea hok,0,0,0,1,0,0
Aaeen k mene sola...,0,0,0,0,0,0
munshigonj er nodi vangon er ki hbe??,0,0,0,0,0,0
Elakar jonoprotinidhider dhon kete dao shob thik hoya jabe,1,1,1,0,0,0
So sd,0,0,0,0,0,0
Amra bangladeshira otirikto ortho orjon korar lov shomboron korte na pere nijerai nijeder hate poribesh noshto kore deshke poribesh biporjoyer mukhomukhi nie eshechi.,1,0,0,0,0,0
good news,0,0,0,0,0,0
Turag nodite  j kono jinis. Manus hok.  Ba kono janbahon gale.  Khuje paoa jai na kno,0,0,0,0,0,0
Manus kotota kharap hole amon khusi note pare .amader cheye kakur o valo ace.Allah sobai k khoma karun,0,0,0,0,1,0
Bangladesh a bestti dorker.,0,0,0,0,0,0
Sab paagal thake neki Bangladeshe???,1,0,1,0,1,1
bangali kre rekeco manus koro ni.kta ta kub kane baje,1,0,0,0,0,1
ate proman hoy shikker man 0,1,0,0,0,1,0
amar ekta frnd ace hata kothay kothay koy hata Du te pore... ekhn hatar ki obostha hoibo kijani... ontoto hatar chapa marar jnno holeo Du under e thakuk!!,1,0,0,0,0,0
Sobai DU likhe rakhchilo fb te. Akhon abar ki holo? Convocation er poro kto pic & lafalafi dekhlam!!,1,0,0,0,0,0
Khub valo korce,0,0,0,0,0,0
eto sotow andolon manay na,1,0,0,0,0,0
"goru ojon o mota hole kano khoti nai ,",1,0,0,0,0,0
25 lakh kno 10 lakh o bikri korte parbe na,1,0,0,0,0,0
Ekhon erokom goru common hoye gese.... GME agro er Brahams niye report koren.... Oder goru gulu asoley  fantastic....,0,0,0,0,0,0
15 lak hole valo hoto dam  onek beshi,0,0,0,0,0,0
Jobaraz Hossain dusto tore tokkor dite aise...tore aro besi dame besmu.. eid aite de just...,1,0,0,0,0,0
"Desher manus Jodi Haramer taka income korey, taholey Ai dam deya goru kinbo. ......",0,0,0,0,1,0
Bformalin dawa 420.. Gorur nam YAMRAAH ??????,1,0,0,0,0,0
Hala dekhsi,0,0,0,0,1,0
Ata kon dasher,0,0,0,0,0,0
Dekho Juboraj Khan gorutar naam ki,0,0,0,0,0,0
Ai magira gaja khaisos,1,1,1,0,1,0
Ebar korbane 6 balle 6 six,1,0,0,0,0,0
Ai sob janogonar bichar kara dorkar,0,0,0,0,0,0
amr desh  ato ta  e  nece gece     manus amn kmne holo akto maya valobasa ki nai amn babe akjon k sobay marloh na jene  cc  dikkar janai aisob abal manus der akhon 2 ta baccr ki hobe,1,0,0,0,1,0
Sobar fashi na hole jail hok jeno akta ucit sikka hoi,0,0,0,0,0,0
Kisui hobe na ! Police er poket vari hobe,1,0,0,0,0,0
"Ai ki manus er jonno manus er bicher?Allah tumi er bicher koro,Amin",0,0,0,0,0,0
Ore vai sathe koira to vaista vaisti vaigna vagni nati karo niya to ber oua jabe na.school e to sathe jaite parum na ekon ki obe.,0,0,0,0,0,0
Sabai ke cross fire korun and oi picci maye ta ke 1 koti taka din and sarbokhonik akjon hostess din,0,0,0,1,0,0
Jobi shob gujob hoi tahole netrokonar ghote jawa ghotona ki gujob,1,0,0,0,0,0
je deshe priya saha sorkari somman pay sedeshe bicar asha kora jayna,1,0,0,0,0,1
Baki agoun lagaitase .... vatijaiy.,1,0,0,0,0,0
ai vudar news ta r valo lagche na akata bal pele matha kharap na kore sone na ara....  ato din cilo minni akon aice priya ... bal bad dento ai sob....,1,0,1,0,0,0
Pagol sagol..,0,0,0,0,1,0
Sonka logo nijja ton kari hasinar bisar sae .,1,0,0,0,0,0
Sei jonno to case neowa hoi ni,1,0,0,0,0,0
Hasina govt er ki kaj eta so kichue hobe na...eta akta plan er part....,1,0,0,0,0,0
Sob kisu plan onujayi hosse...amader netri ja kore khub chinta korai koren..desh a feruk priya....then,1,0,0,0,0,0
Narayon ka bacha kokhono valo cai be na,1,1,0,0,1,0
Ai chutia marka bibechona neye desh cholse. She khany ak chutiar ki bichar hobe.,1,0,0,0,1,0
Desher pasa merey dilo othoso tateyo kishu jaey acena.,1,1,1,0,0,0
Ay Awamelegue jokhn khomota haraba tokhn Sayrachar Arshad r caytau kharap obostha hoba,1,0,0,0,1,0
Trump saheber mon karte ei acting koreche,1,0,0,0,0,0
desher man somman dubiye dise..or bichar hoa uchit,0,0,0,0,0,0
Hindo der ufor nijja toner jonno hasinar bosar sae,1,0,0,0,0,0
priya saha asole rastrobirodhi kaj koreche,1,0,0,0,0,0
"Nijeder g.... kachidia farbo tate problem nai, ei kajtai korta onno ekjon sadharon lok dekhta ei kodiner moddei deshe ene bichar kore jabot jibon karadondo dia dito",1,1,0,0,0,0
"medam shekh hasina,apni sob jaygay ain er jotha jottho proyog koren.r corruption k nirmul koren desh thik vabe cholbe. ... noile amay dayitto den,sob kotare chande pathamu????????",1,0,0,0,0,0
agei mamla hole to tareker moto deshei firbe  na.sorkar thik chal cheleche.age asuk.tarpor mamla......sob pagol hoye geche.ekei bole g...... khaoa matha....,0,0,0,0,0,0
Agei jantam priya sahar akta bal o chirte parbona kew,1,1,0,0,1,0
Berister sumon k eto boro sahos k diyeche.,1,0,0,1,0,0
ai vabai nijadar paya nijara kural marsa bortoman shorkar ja mohila isposto shorkarar biruddha deshar bodnam korlo tar biruddha babostha na nita shorkarar onurodh jonogon kintu atoi boka non manonio prodhan montri kon shorta apni taka basassan taka saport korsan nijar khoti korsan,1,0,0,0,1,0
"Mamla,,korle,,2 tela pabe,,, 1 ta India,, r,1 ta America,, konta tela samlabe,, abr nije tike thakar,, tela,,,    sob dike tela,,, nao ebar samlao tela,,,,",1,0,0,0,0,0
PRIA SHAHA K PRODAN MONTRI HISHEBE DEKTE CAY!,1,1,1,1,1,1
Kano amar dash police. Army .rab.tara ar koby manous hobby,1,1,0,0,1,0
"thiki ache...akhon kichu na koratai better...bhaira, apnara bujhtesen na keno j akhon jodi mamla dey tar name tahole to se oi mamla ke dekhay asylum niye nite parbe....didi moni valo manush...visa sesh kore deshe ashte den...shobai mile mishty khawaben tokkhn...akhon aktu off jann",0,0,0,0,0,0
Pornstar masuda battik k charcaterless boli sate sate 64 district mamla hoi....ki drama wait korce dorsok dkbe,1,1,1,0,1,1
Fb lekhar karone Bangladesh onek loker mamla holo ar magi ai kotha bolche sei tar kono mamla holo na ar ke dekte chao bangladesh,1,1,1,0,1,0
Sohidul islam bbc k akta corruption nea kota bolchilo sate sate hajote dukiea diciln...akn dkbo ai rasdrodrohi hindu mohilar jonno ki hoi...jonogon wait krce,1,0,0,0,0,0
Rastrodruho na hole tahole thik kotha boleche...emon hoile govt ke and itere kaan dhore namay dewa uchit...keno minority der security dite parlona...,1,0,0,0,1,0
Independent boraborei baje...,1,0,0,0,0,0
Taskin amr baler bolar,1,1,1,0,1,1
Unak  bangladesh er rastopoty banano hok,1,0,0,0,0,0
Unar jonno #songrokkito ason /ba Ersad er ason cere dewa howk,1,0,0,0,0,0
Akhn kono magi r kutter chelera rasti nai..ata jodi kono muslim korto ai bangali hoia tahole sara desh a agun lege jeto...chudir betara akhn kisui korte parbe na.......?,1,1,1,0,1,0
Green card pawar dhanda plus Dadar desher dalali,1,0,0,0,0,0
"Ora jay jat baiman,  shay tar proman e delo!!!!   Ora jay shudhu hindustan kay apon vabey ai tai proman.",1,1,0,0,0,1
Ari name huchuka bangali,1,0,0,0,0,0
Ajk raate koto chele Tor hogar upore comment korbe uporwala jane,1,0,1,0,1,0
Hogar put e ki bichi award paise,1,1,1,0,1,1
Ajkal meyeder value kom bolei eisob bal chal model der sathe kaz kore????,1,1,1,0,1,1
Nailar dudher baal. Eibar ekta gari kin. Maia gulare to puira halabi,1,1,1,0,1,0
khuda . amare bachai rakho .. plz :D,1,0,0,0,0,0
Shokal ta nsto kre dili,1,0,0,0,0,0
Kajer bedi diye Baal kamiye ne suyor. Baal na thakle ghu kha Tao ei garam e vhikkha kore fokinni marka coat pore fokinni r mukhe r gondho neyar chesta khema de.,1,1,1,0,1,0
Notun commenter ra comment kore amar hogay ekta latthi mayra jagaya diyen ami ghumayte gelam,1,1,1,0,0,0
Baler model????,1,1,0,0,0,0
kuttar baccha hlar put amare top fan banaisos kn? Akhon Ami bondhu shomaje mukh dekhaite pari na ????????,1,1,0,0,0,0
Khankir pola mother chod suarer bascha ato manush agune puirra more tui morona kan motherchod tore na padaia Jodi ALLAH ak bosta alu padaite taileo valo hoito koida manush khaia bachte to parto mother chod,1,1,1,0,1,0
"Tui vai ekta lok bote. Parish o tui. Eto eto gali hojom korish kivabe. 2 bosor ageo ami kono gali jantam na. Ar ekhon pry sob  rokomer galii shikhe gechi, sudhu tor post er comment porar karone. ..!!",1,0,0,0,0,0
Hayre murkho khankir pola tui kobe j porbi k jane,1,1,1,0,0,0
Fokinnir pola,1,0,0,0,1,0
Dhour miya ato lame ken ? Ma baba ki atoei kheat je social meadia te khetness dekhao,1,0,0,0,0,0
or 2jone mile Hero aloimmar putki ajka gorom banai dibo..hero alom tui ajka sesh . . . ????,1,1,1,0,0,0
Rastar pokiro to valo .obinoy korte par bo.ai kankir pula gor ki.man echod ase naki nai.Ahlai jane.,1,1,0,0,0,0
Khankir polara....toder kuttar baccha lojjao kre Na...,1,1,1,0,0,0
Doro madari??,1,1,0,0,0,0
tui ato gali khas tar por o pic up des??? onno kew hoile sucide korto,1,1,0,0,0,1
Boss.....ami ki okhana dhukta parbo,1,0,0,0,0,0
"o khoda, ki dehlam ????",1,0,0,0,0,0
Khankir pola tor maire bap. Tor jala r valo lage na,1,1,0,0,0,0
Halar po amar mobile ta tor hoga diya voira icchamoto vibration bajamu,1,1,1,0,0,0
Toi kobe morbi koto vai tore ar bokte  valo lagena,1,0,0,0,0,0
to ai pondapondir Video up diya dicot,1,1,0,0,1,0
Khankir pola tor sholpo doirgo tor goha dea dokea ponno doirgo bana mu.,1,1,1,0,1,1
Koi kaw asy ani?,0,0,0,0,0,0
"Jekhanei thako baat khaiyo, khub tesh",1,0,0,0,0,0
tor lipe dekly mone hoy...kon kamarar dokan thika jani make kory ainchos,1,0,0,0,1,0
Knkirpula mara kha,1,1,1,0,0,0
chudir pola hero alom o tw hoity parli nah.,1,1,1,0,0,0
Haisshokor,1,0,0,0,0,0
sala rohingacho**,1,0,0,0,1,0
Knkirpola ki gangbang mara loicos naki,1,1,1,0,0,0
Akdol khankir put...,0,0,1,0,0,0
sala rohinga,1,0,0,0,1,0
kamla choda,1,0,1,0,0,0
Khankir po,1,0,1,0,0,0
Aiccha tui kamne eto nite paros..... Tor upore akta gobesona howa uchit.. Tor ai gali gula lage na kan.. Tui ki mal vai...?,1,0,0,0,1,0
tumi asolai akta paka mother tost.na hoyle amader moto ai sob nispap baschader ato kasthake vondami sikhaw....?,1,0,1,0,0,0
Khankir pola tor mayre chodi mother chod ai khankir pola kono kaj kam nai ??,1,1,1,0,1,1
KHANKIR PO TOI KON BALER MODEL .....CHORA CHUTMARANA MAGIR PO ID TA MODEL LAGAISA.....,1,1,1,0,1,0
"Deshta vore gace osobvo chele meye dia,,,beyadop kara?? Jara kukormo to korei nd seta sara duniar kace tule dhre,,Allah er lanot poruk odr upor..??????",0,0,0,0,0,0
A khankir po a samarpo Tor maire chudi khankir pola Tor loger model dire bandor dia chodai tore kutta dia chodai mother chod khankir pola tui aia ki dao samarpo,1,1,1,0,1,1
Ore khankir pola moda matha????. Monda chitase tor bichi doita para dea golaia feli,1,1,1,1,1,1
"Shit, ajke khela r enjoy kora jabena halar pic dekhar karone.... Amar friend gulare boli tura emon valo moment e ere import na korley parti....",1,0,0,0,1,0
Luicchami time bol. Ay shob tut er shooting re shooting koiya shooting er nam kharap koris na,1,0,0,0,0,0
Sobai asta asta gali diban. Taratari tari korta giya banan bhul korban na. Ora Ja paran bolan sala ki post dilo aita.,1,0,0,0,1,0
Vaira amr please jani na koy din bachbo ai duniya te... But joto din bachbo or pic a apnader sobar comments dakbo. Ar dakbo.... Pless ore kau kisu kon. Amr sob gali ses. Sudu kisu Italian gali baki ase duar.. But oy bujbo na tai daina..... Vaiyara bachan amre ore kisu boila,1,0,0,0,0,0
Bhai Bangladesh ar khela ses hole jodi pic upld diti tor ki amon khoti hoito ??,1,0,0,0,0,0
"Giramer kochi kochi may ky takar lov dekhai oslinota, fasi chai tor????????",1,0,0,0,0,0
Bokacoda,1,0,1,0,1,0
Piche to dakh...,1,0,0,0,0,0
DDhuru halar pula,1,0,0,0,1,0
Besaar bta,1,0,0,0,1,0
Khankir pola tor pic deika amr phone hang marse ahn bodar pola gitar bajamo kmne,1,1,1,0,0,0
Amr hoga mara sas,1,0,1,0,0,0
Kire hala tor ki etoi vala lage gali shunte madari,1,0,0,0,1,0
Uni abr unar face niya aise amder binodon duar jonno,1,0,0,0,0,0
Knkirpola khelar dingulatei tor kufa pic na dile hoyna mdrcd,1,1,1,0,1,0
Lol ekhane jara Top Fan tader kotha chinta kortesi,1,0,0,0,0,0
Kire Uganda  Sokale uitha tor mukh ta dekhlam  Jodi din ta khrp jai Tore pisone  Bass jabe sala,1,1,0,0,1,0
Khanki  mone chaitache tor goyar niche ek jak moja lagai dei khankir pola saradin khali pacha thaprabi chudir via,1,1,1,0,1,0
Mangarput potorcycle tr huga diye ber krmu,1,0,0,0,1,0
Baba diboshe tore baba khaiya goyamu khankir pola,1,0,1,0,1,0
hEDA MARKA cHERA tA KILLAIGA j DEKHAS tUI ............ DAowat PAiya gesos naki andapati,1,0,0,0,1,0
Bhai gali astese khaia asi... Enargy nai,1,0,0,0,0,0
"Khanki magir chaowal, Kar gari curi korchis? :/",1,1,1,0,1,0
Ora onak din por paise ar Frank ki ra.,1,0,0,0,0,0
A kemon pank vidio ?? Vidio deikha nake pani eshe porce.... ??????...,1,0,0,0,0,0
Acudar bacca,1,0,0,0,1,0
Khankir po,1,0,1,0,1,0
dak bai. daka sek kico. sala falto polapan na sekka aay frank banata.,1,0,0,0,0,0
english Er Hoga MAra Ses... Madari BAngla oare Na Thik Kore English Choday.... Frank Or Prank :-p,1,1,1,0,1,0
mago ma,1,0,0,0,0,0
Knkirpola mdrcd tui valo hobina,1,1,1,0,1,0
Amitei jid uitta loise tore deikkha aro matha ta kharap koira dili,1,0,0,0,0,0
Ai madarchod tor jonno ghore kajer bedi jorina kalke basa theke choila gelo,1,0,0,0,0,0
Kore kore chehera paltai felse meyetar.....age aro cute chilo... riding fact...,1,0,1,0,1,0
Apne nam desen model kinto apner kono album to jibone deklam e na.,1,0,0,0,0,0
Garments er seri pash koi?amare ekta dishto bashai Kajer lok nai,1,0,0,0,0,1
maldare gang bang korte chai,1,1,1,0,1,1
Khankir pola tore oikane dhukte dei k,1,1,1,0,0,0
Khankir po,1,0,1,0,1,0
Oh tar mane pujar olpo boyose sobkichu boro howar pichone tor e hat roiche …,1,0,1,0,1,0
nice panja vee,1,0,0,0,0,0
Ei chobi te haha na diye jara like dey tara autistic,1,0,0,0,0,1
Dili to amar ajker din tar hoga maira,1,0,1,0,0,0
Tor chegera mothel er moto na betha van ala shndr tor theke,1,0,0,0,0,0
premium quality of madarchod,1,0,1,0,1,0
Eto gali deyar por or lojja hoy na????,1,0,0,0,0,0
khankir polare ki mon chay,1,1,1,1,1,1
Maiyada sesh ??,1,0,1,0,0,0
Tor taki kutta modal sundor,1,0,0,0,1,0
Tui hoile Gorib ar Dildar...??,1,0,0,0,1,0
Abal,1,0,0,0,1,0
Hala goru,1,0,0,0,1,0
Hihi,1,0,0,0,0,0
Comment porte aslam ????????????,1,0,0,0,0,0
Kire eida abar kare jogaili,1,0,0,0,0,0
2i bainchod ak shathe,1,1,1,0,1,1
khankir polar jonno fb ta duka jabe na,1,0,1,0,0,0
Ei post r comment gulo vlo silo nah...haste parlam nah,1,0,0,0,0,0
Asob post dakha ki bhujata chas tui kisar actor tor pic dakla to manus amni gali bar hoya. Ajka indiar kono player ai post dakla sure harba.,1,0,0,0,0,0
Comment kore galam jate notification paye sobar comment porta pari,1,0,0,0,0,0
Jai aibar haiga asi ??,1,0,0,0,0,0
Bainchod,1,0,1,0,1,0
baaler art,1,0,0,0,0,0
"Aita shera art nah, tore jedin dibo oita hoibo Shera art of this galaxy..",1,0,0,0,1,0
Da ta amar hate thakle tore samsur moto kufaytam,1,0,0,1,0,0
Nare vai aj are toke gali dibo na,1,0,0,0,0,0
Tore aij r Gail dibona,1,0,0,0,0,0
bainchod tore amne kopaite parle desh shadhin hoito??????????????????????,1,0,0,1,1,0
Khankir pot toi o moja los,1,0,0,0,1,0
Dili to tui Hatirjheel er hoga mairra,1,1,1,0,1,0
Or ghuar fuda diya jodi akta gorom rod dite partam... Taile hasi mukhe fashi te jhuila jaitam. ????????,1,1,1,1,0,0
Gorom er moddhe  bain-c*** thik hoilo nah...,1,0,1,0,0,0
Ami free mode on kore then comment korlam. Dekhi nai chobi ta. Jodio dekhte khub iccha kortese. ?? Free binodon bole kotha.,1,0,0,0,0,0
Kire hala tor futa ki beshi boro koira dise naki,1,0,1,0,1,0
"hagte boisos?? floor er upre killai, hoga da grill er baire diti bokchod? naki edao janos na hagbi kamne? :/",1,1,0,0,1,0
Sob comment porse?? Comment kore galam. Jate pore kew comment korle e notification pai ar abar comment porta asce pare??????,1,0,0,0,0,0
"vai, matha ta sei betha kortesilo ... bt esi picture ta dekhe matha betha ta koi je gelo bujhlam na ... haste haste pet betha hoiya gese ??????",1,0,0,0,0,0
Nirvik Shaha Rudra Ae khankir pola Cmnt por Ghure fire dekh....kon madarir put aeda,1,1,1,0,0,0
Sala valar post dao monda chaya tora tut tut dai. Ami tor top fan hoilam kamna.,1,1,0,0,1,0
"Madarchod, mood tai off koira dili!! -_-",1,1,1,0,1,1
Mara kha,1,0,0,0,0,0
shiki shalar putt,1,0,0,0,0,0
Kire tui akhono moros nai,1,1,0,1,0,0
Hatir jheel napak ??????,1,0,0,0,0,0
Lutir put,1,0,0,0,0,0
Dhur cdirpo,1,1,1,0,1,0
"tui abr prank er ki bujhosh, tui nijei to pranked hos daily amgo kase madari",1,0,0,0,1,0
Halarpu hala agye video banan shik,1,0,0,0,1,0
Valo time e Wi-Fi geche. Tur g*a mara video dekha lage nai. Thanks net for gone for a while.,1,0,1,0,0,0
Oi Beday boltese tore paile hater 5 ta angul tor pachay dukamu,1,1,0,1,0,0
eiiii kuttar bassa,1,1,0,0,1,0
Khankir po,1,1,1,0,1,0
Fuck video vhabsilam,1,0,0,0,0,0
Autistic halarpola,1,1,0,0,1,1
Khnkirpola kufa lagle toe bichi ita diya cheicha dimu mdrcd,1,1,1,1,1,1
bosao khonik er magi re,1,1,1,0,1,0
sei bhai,1,0,0,0,0,0
saoua tomar koita page lage,1,1,1,0,0,0
Tora laga goru suda modal,1,1,0,0,1,0
Khankir po,1,1,1,0,1,0
Abal cuda,1,1,1,0,0,0
golper moto ki mone thakbe sob? naki hariye jabe sob kichu??,0,0,0,0,0,0
Sotti tay.....,0,0,0,0,0,0
faltu	0	0	0,1,0,0,0,0,0
Eta poro	0	0	0,0,0,0,0,0,0
osadharon ekta golpo porlam..writter ar ID link powa jabe????,0,0,0,0,0,0
Darun,0,0,0,0,0,0
Aei pager prottek ta post amer vison pochonder. Khub valo chilo,0,0,0,0,0,0
Sobai nijeke niyei vabe keu Next generation niye vabena re vai ?? ,0,0,0,0,0,0
Jahid mamu France or e news hasa ni?,0,0,0,0,0,0
Amader aishob kichu e lagbena bhai.amader ase mohan chetona.shokal bikal 2 bela niyom kore chetona gule gule shobot khabo.tai to korsi desh shadin ar por taki,0,0,0,0,0,0
Amra fol vog na korlen amader vobissot projonmo humkir mukhe......,1,0,0,0,0,0
osthir????,0,0,0,0,0,0
Are vai onner gf k kn biye krlo,0,0,0,0,0,0
"Sbai etai bole,public kno kichu kore na.public er safety ki keo dibe?je public ei protest korbe,tar porer moment ei public rifat er jaigai jabe",1,0,0,0,0,0
Upnar leka ami sob somoy pori ... balo lage upnar leka... keep it up.. go ahead....... Thns,0,0,0,0,0,
Dese kono Niyom nai ain nai ase shudu khomotar dapot Allah jenu oder bicar kore,1,0,0,0,0,0
amader deser ain sinkola na thaker karone aj ai porinoti nijer des boltew garna hoi,1,0,0,0,0,0
bah vai!,0,0,0,0,0,0
" osadaron ,, e jonnoi to extreme noise all time  best  ????????",0,0,0,0,0,0
eta ki shotti?0,0,0,0,0,0,0
 amra..... Ami tamim ??,0,0,0,0,0,0
 ami tamim category????,0,0,0,0,0,0
bes chilo,0,0,0,0,0,0
Khubi valo laglo???,0,0,0,0,0,0
Onk balo hoycha...... choker pani ase gacha bai.,0,0,0,0,0,0
sotti khov valo cilo.,0,0,0,0,0,0
Khubi valo laglo,0,0,0,0,0,0
best likcan..,0,0,0,0,0,0
Jotheshto shundor ekta golpo..ar golper chole onek shikkha,0,0,0,0,0,0
 bhai poren taile apnio,0,0,0,0,0,0
Ki ek obstha,0,0,0,0,0,0
awesome.. valo laglo,0,0,0,0,0,0
 vai ei post deikkha jdi kw inspired hoy......taile bki da r na koilm....,0,0,0,0,0,0
Best cilo bhai,0,0,0,0,0,0
"Valovasa roilo.bangladesher cricket ke jevave represent kora hoy football ke temon vabe represent kora hoyna,tai hoyto tara backdate ei theke jay.foot ball ke choriye dewa hok banglar protiti konay.emon soto soto jamal Bhuyan ache edeshe.",0,0,0,0,0,0
 ektu por,0,0,0,0,0,0
Bhai post ta boost kore den ??,0,0,0,0,0,0
dekh tor triangle love.. ,0,0,0,0,0,0
